100;1;Schritt 1;Sauce
100;2;Schritt 2;Honig, Sojasauce, Knoblauch gewürfelt, Ingwer und Seseamsamen in einer Schüssel zusammenmischen.
100;3;Schritt 3;Fleisch
100;4;Schritt 4;Fleisch in Öl anbraten, salzen und Pfeffern bis es braun ist.
100;5;Schritt 5;Dann die Sauce dazuschütten und gut umrühren.
100;6;Schritt 6;Sobald die Sauce blubbert, Brokkoli dazuklatschen und gut umrühren.
100;7;Schritt 7;Kochen bis das Fleisch durch ist und das Gemüse weich.
100;8;Schritt 8;Serviertipp:
100;9;Schritt 9;Entweder alleine oder mit Reis.
100;10;Schritt 10;Quelle: https://www.instagram.com/p/CM-xkvMgVAn/
101;1;Schritt 1;Zwiebel im Topf anschwitzen und Reis dazugeben. Diesen leichte anbraten und Wein dazugeben. Kochen bis der Wein weg ist und dann Wasser hinzufügen und kochen bis der Reis durch ist. Mit Salz und Suppengewürz würzen.
101;2;Schritt 2;Währenddessen Knoblauch und Lachs in einer Pfanne anbraten. Lauch hinzufügen.
101;3;Schritt 3;Den gekochten Reis in die Pfanne geben und mit geriebenem Parmesan vermischen.
101;4;Schritt 4;Genießen
102;1;Schritt 1;Zwiebel anschwitzen.
102;2;Schritt 2;Mehl dazu. Mehl kurz durchrösten und umrühren.
102;3;Schritt 3;Wasser drauf und geschnittenes, geschältes Gemüse und Erdäpfel rein. Salz, Pfeffer und Suppenwürze drauf. Alle Gewürze drauf.
102;4;Schritt 4;20 Min kochen
102;5;Schritt 5;Würschtel geschnitten dazugeben. Außerdem Petersilie gehackt und eventuell Schlagobers dazuschütten.
103;1;Schritt 1;Alter Reis (Beste).
103;2;Schritt 2;2 grosse Eier, Rezept für 2 Personen
103;3;Schritt 3;Gemüse in Öl mit Knoblauch anbraten. Reis dazugeben und kurz anbraten. Ei nebenbei mit Sesamöl vermischen und dazugeben und würzen. Kurz anbraten bis Ei aufgehört hat, flüssig zu sein.
104;1;Schritt 1;Kohlrabi schneiden.
104;2;Schritt 2;Kohlrabi kochen (mit Salz, Kümmel, Muskatnuss und Suppenwürze). (wenig Wasser)
104;3;Schritt 3;Wenn fertig Wasser rausholen und Butter in den Topf geben. Mehl dazugeben und rühren. (Einbrenn)
104;4;Schritt 4;Wasser und Kohlrabi wieder zurück (nicht zu viel Wasser). Schlagobers/Creme Fraiche dazugeben und eventuell nachwürzen. Dann Petersilie dazugeben und fertig!
105;1;Schritt 1;Champignons und Zwiebel in Butter anbraten und Thymian dazugeben. Reis kurz anbraten. Wein dazugeben und dann das Wasser dazugeben. Erbsen dazugeben und Salz und Suppengewürze und Pfeffer. Kochen bis Wasser weg und Parmesan dazugeben.
106;1;Schritt 1;Hähnchenbruststreifen in ca. 1cm dicke Streifen schneiden.
106;2;Schritt 2;Eier, Petersilie und Schnittlauch verquirlen und mit Salz und Pfeffer würzen.
106;3;Schritt 3;Ein bisschen Mehl in eine extra Schüssel geben.
106;4;Schritt 4;Fleischstreifen zuerst in Mehl, dann in Ei tunken. (vielleicht auch öfters)
106;5;Schritt 5;In heißer Pfanne mit Butter anbraten bis durch und knackig.
107;1;Schritt 1;Schwammerl anbraten.
107;2;Schritt 2;Zucchini, Knoblauch und Lauch dazugeben.
107;3;Schritt 3;Kurz zugedeckt anbraten. Nach eigenem Ermessen würzen.
108;1;Schritt 1;Süßkartoffel schälen und in Scheiben schneiden.
108;2;Schritt 2;Süßkartoffeln und Schwammerl anbraten. Zucchini, Knoblauch und Lauch dazugeben.
108;3;Schritt 3;Kurz zugedeckt anbraten. Nach eigenem Ermessen würzen.
110;1;Schritt 1;Keine Schritte vorhanden
111;1;Schritt 1;Brokoli schneiden und 8 min kochen.
111;2;Schritt 2;Währenddessen Blätterteig ausrollen, Schinken doppelt drauflegen und Käse reiben.
111;3;Schritt 3;Brokoli absieben und auf den Blätterteig mit Schinken geben. Fast alles vom Käse drübergeben.
111;4;Schritt 4;Blättterteig zuklappen und den restlichen Käse draufgeben.
111;5;Schritt 5;Backen laut Beschreibung am Blätterteig.
111;6;Schritt 6;Währenddessen Sauce zubereiten (Siehe Beilagen)
112;1;Schritt 1;Knoblauch entweder viel zerkleinern oder pressen.
112;2;Schritt 2;Alle Zutaten nach Geschmack vermengen.
113;1;Schritt 1;Den Reis nach Packungsanleitung in Salzwasser kochen.Paprika und Zucchini in Würfel schneiden und anbraten. Knoblauchzehen hacken und dazugeben, alles zusammen ca. 10 Minuten braten.Danach den fertig gekochten Reis hinzugeben, Sojasauce und Cashewkerne dazugeben und noch ca. 5 Minuten unter Rühren braten.Falls Nötig, würzen.
114;1;Schritt 1;Erdäpfel kochen.
114;2;Schritt 2;Schälen und würfeln.
114;3;Schritt 3;Mit Petersilie vermischen.
115;1;Schritt 1;Lachs gut würzen und mit Zitronensaft ein einreiben.
115;2;Schritt 2;Auf beiden Seiten gut anbraten. (Falls Haut vorhanden diese ruhig stark anbraten.
116;1;Schritt 1;Reis kurz anbraten und mit viertel Tasse Weißwein abschrecken. Warten bis der Wein weg ist und 1,5 Tassen Wasser reingeben. Mit Suppengewürz und Salz würzen. Kochen, bis Reis fertig/Wasser weg.
116;2;Schritt 2;Knoblauch leicht anbraten und (gefrohrenen) Spinat in Pfanne auftauen und ein wenig anrösten.
116;3;Schritt 3;Parmesan reiben.
116;4;Schritt 4;Reis in die Pfanne geben und mit Parmesan vermischen.
117;1;Schritt 1;Butter für 15 min in Schüssel geben und weich werden lassen.
117;2;Schritt 2;Gewürze dazugeben und verrühren/mixen.
117;3;Schritt 3;Butter in den Kühlschrank stellen, damit sie fest wird.
118;1;Schritt 1;Knoblauch, Zwiebel und Paprika schneiden. Faschiertes mit Bratöl in der Pfanne anbraten und geschnittenes Zeugs dazugeben. Warten bis Zwiebel weich ist. Den Reis, die doppelte Menge Wasser und etwas Tomatensauce dazugeben. Nach belieben würzen. Nach kurzem Aufkochen noch etwa 15 Minuten köcheln lassen. Dann noch mehr Tomatensauce untermischen und mit Mozzarella belegen. Deckel zu, bis der Mozzarella schmilzt und cinematisch in der Pfanne servieren.
118;2;Schritt 2;Mahlzeit!
119;1;Schritt 1;Tofu pressen.
119;2;Schritt 2;Cashewnüsse ohne Öl anbraten und auf die Seite stellen.
119;3;Schritt 3;Paprika und Tofu in Streifen schneiden. Tofu in Stärkemehl wälzen und anschließend im Sesamöl anbraten. Paprika dann dazugeben.
119;4;Schritt 4;Für die Soße die Sojasoße, Wasser, Knoblauch, Ingwer und Chilliflocken vermischen. Zu Tofu dazuleeren und Kochen bis es verdickt. Cashewnüsse dazu.q
119;5;Schritt 5;Jungzwiebel und Sesam nach belieben drüber streuen.
120;1;Schritt 1;Faschiertes mit Öl in Topf anbraten. Reis dazu und nochmal kurz anbraten. Doppelte Menge an Wasser dazu und mit Salz, Pfeffer und Majoran würzen. Außerdem die Tomaten schneiden und dazugeben.
120;2;Schritt 2;Kochen bis das Wasser weg ist und dann den Mais und das Creme fraiche dazugeben.
120;3;Schritt 3;Fertig!
121;1;Schritt 1;Zwiebel schneiden und anschwitzen in Öl.
121;2;Schritt 2;Kürbis würfeln (nicht schälen) und dazu geben. Auch kurz anbraten.
121;3;Schritt 3;Wasser dazu und würzen.
121;4;Schritt 4;Kochen bis der Kürbis weich ist. Dann pürieren.
121;5;Schritt 5;Schlagobers dazu bist es schön cremig ist.
121;6;Schritt 6;Mit Kübriskernöl servieren.
121;7;Schritt 7;Schmecken lassen. :)
122;1;Schritt 1;Topfen in Geschirrtuch ausdrücken bis kein Wasser rauskommt.
122;2;Schritt 2;zusammenmischen
122;3;Schritt 3;Kugeln formen
122;4;Schritt 4;In kochendes gesalzenes Wasser geben bis schwimmen + paar Minuten bis durch.
123;1;Schritt 1;Schokolade und Butter zusammenschmelzen und abkühlen lassen.
123;2;Schritt 2;Mehl, Backpulver, Kakao und Zimt vermengen
123;3;Schritt 3;Eier und Zucker in einer seperaten Schlüssel verquirrlen
123;4;Schritt 4;Schoko aus Schritt 1 dazugeben
123;5;Schritt 5;Mehlmischung gut aber kurz dazumischen
123;6;Schritt 6;mindestens 6 Stunden kühlen
123;7;Schritt 7;kleine Bällchen formen und in Staubzucker tunken
123;8;Schritt 8;Bei 190°C Ober-Unterhitze 10-12 min backen
124;1;Schritt 1;Trockene Zutaten vermischen, Rest dazumischen und kneten.
124;2;Schritt 2;In den Kühlschrank (wenn der Teig kalt ist lässt er sich leichter auskneten)
124;3;Schritt 3;Auf bemählter Oberfläche ausrollen und ausstechen
124;4;Schritt 4;10-12 Min bei 180°C Ober-unter Hitze oder 160°C Heißluft backen
124;5;Schritt 5;Nach Belieben verzieren
126;1;Schritt 1;alles außer Roggenmehl und Erdmandeln gut verühren und über Nacht im Kühlschrank stehen lassen.
126;2;Schritt 2;am nächsten Tag Erdmandeln und Roggen in den Teig einarbeiten bis er nicht mehr klebt.
126;3;Schritt 3;Dick auswalken, austechen und mit Ei bestreichen
126;4;Schritt 4;Bei Heißluft 170°C Umluft für 11 min backen.
126;5;Schritt 5;Nach Belieben verzieren
127;1;Schritt 1;100g Staubzucker und Vanillezucker ist für bestreuen.
127;2;Schritt 2;Alles Andere vermischen und einkühlen.
127;3;Schritt 3;Würschtel machen, in gleiche Scheiben schneiden und jede einzelne Scheibe wuzeln und Kipferl draus machen.
127;4;Schritt 4;zwischen 170-180°C Heißluft 10-12 Min backen und wenn noch heiß sind, in Vanille+Staubzucker welzen. wenns nicht geht waren sie zu kurz im Rohr.
128;1;Schritt 1;Chremespinat auftauen, Knoblauch reingeben, in einer Schüssel mit Mehl und Wasser vermengen bis die Konsistenz passt. (dickflüssig)
128;2;Schritt 2;In der Pfanne die restlichen Zutaten anbraten und mit Mascarpone vermischen und würzen.
128;3;Schritt 3;Großen Topf Salzwasser kochen, Spätzle mit dem Spätzlemacher hineinmachen und kochen bis sie aufschwimmen. Herausfischen und in Warmhaltebox geben, damit sie noch weiter abtropfen können. In die Pfanne werfen und vermengen. Servieren.
