recipeid;ingredientName;amount;unit
14;Wasser;4;l
14;Salz;;
14;Olivenöl;;
14;Spaghetti;250;g
15;Wasser;2;l
15;Erdäpfel;1;kg
16;Nudeln;250;g
16;Wasser;3;l
16;Salz;;
16;Olivenöl;;
17;Risottoreis;1;Tasse
17;Weißwein;0.5;Tasse
17;Wasser;2;Tasse
17;Zwiebel;1;
17;Salz;;
17;Suppengewürz;;
17;schwarzer Pfeffer;;
18;Gries;50;g
18;Mehl;25;g
20;Butter;115;g
20;Zucker;100;g
20;brauner Zucker;100;g
20;Ei;1;
20;Vanilleextrakt;1;tl
20;Backkakao;55;g
20;Backpulver;1;tl
20;Salz;1;Priese
20;weiße Schokolade;225;g
20;Milch;30;ml
20;Mehl Glutenfrei;125;g
21;Bratschinken;;
21;Knoblauch;1;
21;Bratöl;;
21;Parmesan;;
21;Wasser;;
22;Erdäpfel;6;
22;Parmesan;;
22;Oregano;;
22;Paprikapulver;;
22;Olivenöl;;
22;Salz;;
22;Knoblauchpulver/granulat;;
22;schwarzer Pfeffer;;
23;Popcornmais;;
23;Bratöl;;
23;Salz;;
24;Nudeln;250;g
24;Salz;;
24;Speck;30;g
24;Knoblauch;2;Zehe
24;Zucchini;1;
24;Schlagobers;1;Becher
24;Parmesan;20;g
24;Oregano;;
24;Bratöl;;
25;Ei;1;
25;Salz;;
25;Olivenöl;;
26;Ei;1;
26;Butter;;
26;Salz;;
27;Ei;1;
27;Bratöl;;
27;Salz;;
28;Ei;3;
28;Bratöl;;
28;Salz;;
28;Bratschinken;;
28;schwarzer Pfeffer;;
28;Eckerlkäse;1;
28;Zwiebel;1;
28;Champignon;4;
29;Salz;;
29;Lauch/Jungzwiebel;20;g
29;Schinken;20;g
29;Brokkoli;40;g
29;Schlagobers;1;Becher
29;Suppengewürz;;
29;Muskatnuss;;
29;weißer Pfeffer;;
31;Zwiebel;1;Stück
31;Reis;1;Tasse
31;Erbsen;;
31;Karotten;2;Stück
31;Putengeschnetzeltes;;
31;Tomatenmark;;
31;Schlagobers;;
31;Maizena;;
31;Bratöl;;
31;Paprikapulver;;
32;Milchreis Reis;100;g
32;Ahornsirup;;
32;Milch;400;g
34;Bratöl;;
34;Erdäpfel;;
34;Ei;2;
34;schwarzer Pfeffer;4;
34;Bratschinken;;
34;Zwiebel;1;
34;Eckerlkäse;2;
34;Salz;;
