recipeId;stepNumber;name;description;unterRezeptId
14;1;Wasser aufkochen;Wasser in einem Topf zum Kochen bringen. Salzen und Öl dazugeben.
14;2;Spaghetti hinein;Spaghetti hineingeben und kochen lassen (wie auf der Packung steht)
15;1;Wasser aufkochen;Wasser im Topf zum Kochen bringen
15;2;Erdäpfel;schälen oder waschen
15;3;Kochen;Erdäpfel in das kochende Wasser geben und kochen lassen (15-30 min, kommt auf Größe an) Mit der Gabel testen ob sie weich sind.
16;1;Wasser kochen;Wasser in einem Topf zum Kochen bringen, Salz und Öl dazugeben.
16;2;Nudeln hinein;Wie auf der Packung steht kochen.
16;3;Abseihen;Nudeln abseihen und in die Pfanne geben.
17;1;Zwiebeln anschwitzen;Zwiebel im Topf mit ein bisschen Öl anschwitzen.
17;2;Reis dazugeben;Reis dazugeben und kurz anbraten
17;3;mit Wein ablöschen;Mit Wein ablöschen und kochen bis der Wein weg ist
17;4;Deckel drauf;Wasser hinzufügen und mit Salz, Pfeffer und Suppengewürz würzen. Kochen bis der Reis durch ist.
18;1;Milch erhitzen;Die ganze Milch in einen Topf geben und erhitzen.
18;2;Grießbrei dazugeben;Dann den Grießbrei dazugeben und umrühren.
18;3;Aufkochen;nochmal aufkochen lassen
18;4;stehen lassen;10 min stehen lassen
18;5;Serviertipp;mit Zimt gesprenkelt
20;1;in einer Schüssel;Butter cremig schlagen, Zucker, Ei und Vanille dazu.
20;2;in einer weiteren Schüssel;Die trockenen Zutaten in einer separaten Schüssel vermischen und zur Butter dazu mixen.
20;3;alles vermischen;Dann die Milch und die Schokostückchen zur Butter untermischen und den Teig lange im Kühlschrank ruhen lassen.
20;4;backen;Cookies formen und bei 175°C 10 min backen.
20;5;abkühlen;5 Minuten abkühlen lassen
21;1;Risottoreis zubereiten;;17
21;2;Währenddessen anbraten;Währenddessen Knoblauch mit Wurst in einer Pfanne anbraten und Zucchini hinzufügen.
21;3;Zucchini kochen;Mit ein wenig Wasser schmoren lassen bis Zucchini weich ist.
21;4;Ab in die Pfanne!;Den gekochten Reis in die Pfanne geben und mit geriebenem Parmesan vermischen.
22;1;Erdäpfel wedgen;Erdäpfel in Wedgesform bringen. ev. davor schälen.
22;2;Alles vermischen;In eine Schüssel geben und nach eigenem Ermessen die Gewürze, das Öl und den Parmesan dazu geben und gut durchmischen
22;3;Backen Backen Backen!;Alles auf einem Backblech + Papier austeilen und bei 200°C, 40-50 Minuten lang backen. :)
23;1;In einen großen Topf;In einen Topf das Öl geben und den Boden mit Poppcornmais bedecken. Einen Deckel drauf geben und alle paar Sekunden den Topf schütteln.
